iteration_number time radius radius_size sum_phi r_dot velocity_top max_velocity RMS_velocity thickness_boundary porosity_center
0 5.0000e+00 5.0000e-01 26 4.0000e-01 1.0000e-01 -2.1337e-05 -9.7326e-07 -1.8643e-05 0.0000e+00 0.0000e+00
1 5.0200e+00 5.0000e-01 26 4.0000e-01 1.0000e-01 -2.1337e-05 -9.7326e-07 -1.8643e-05 1.1055e+05 4.0000e-01
2 5.0400e+00 5.0000e-01 26 4.0000e-01 1.0000e-01 -2.1336e-05 -9.7325e-07 -1.8643e-05 5.5275e+04 4.0000e-01
3 5.0600e+00 5.0000e-01 26 4.0000e-01 1.0000e-01 -2.1336e-05 -9.7324e-07 -1.8642e-05 3.6850e+04 4.0000e-01
4 5.0800e+00 5.0000e-01 26 3.9999e-01 1.0000e-01 -2.1336e-05 -9.7324e-07 -1.8642e-05 2.7637e+04 3.9999e-01
5 5.1000e+00 5.0000e-01 26 3.9999e-01 1.0000e-01 -2.1336e-05 -9.7323e-07 -1.8642e-05 2.2110e+04 3.9999e-01
6 5.1200e+00 5.0000e-01 26 3.9999e-01 1.0000e-01 -2.1336e-05 -9.7322e-07 -1.8642e-05 1.8425e+04 3.9999e-01
7 5.1400e+00 5.0000e-01 26 3.9999e-01 1.0000e-01 -2.1336e-05 -9.7322e-07 -1.8642e-05 1.5793e+04 3.9999e-01
8 5.1600e+00 5.0000e-01 26 3.9999e-01 1.0000e-01 -2.1335e-05 -9.7321e-07 -1.8642e-05 1.3818e+04 3.9999e-01
9 5.1800e+00 5.0000e-01 26 3.9999e-01 1.0000e-01 -2.1335e-05 -9.7320e-07 -1.8641e-05 1.2283e+04 3.9999e-01
10 5.2000e+00 5.0000e-01 26 3.9999e-01 1.0000e-01 -2.1335e-05 -9.7320e-07 -1.8641e-05 1.1055e+04 3.9999e-01
11 5.2200e+00 5.2000e-01 27 3.9999e-01 1.0000e-01 -2.3801e-05 -1.0424e-06 -2.0793e-05 1.1088e+04 3.9999e-01
12 5.2400e+00 5.2000e-01 27 3.9998e-01 1.0000e-01 -2.3801e-05 -1.0424e-06 -2.0793e-05 6.8402e+03 3.9998e-01
13 5.2600e+00 5.2000e-01 27 3.9998e-01 1.0000e-01 -2.3800e-05 -1.0424e-06 -2.0792e-05 6.3209e+03 3.9998e-01
14 5.2800e+00 5.2000e-01 27 3.9998e-01 1.0000e-01 -2.3800e-05 -1.0424e-06 -2.0792e-05 5.8749e+03 3.9998e-01
15 5.3000e+00 5.2000e-01 27 3.9998e-01 1.0000e-01 -2.3800e-05 -1.0424e-06 -2.0792e-05 5.7907e+03 3.9998e-01
16 5.3200e+00 5.2000e-01 27 3.9998e-01 1.0000e-01 -2.3800e-05 -1.0424e-06 -2.0792e-05 5.4326e+03 3.9998e-01
17 5.3400e+00 5.2000e-01 27 3.9998e-01 1.0000e-01 -2.3799e-05 -1.0424e-06 -2.0792e-05 5.1163e+03 3.9998e-01
18 5.3600e+00 5.2000e-01 27 3.9997e-01 1.0000e-01 -2.3799e-05 -1.0424e-06 -2.0791e-05 4.8348e+03 3.9997e-01
19 5.3800e+00 5.2000e-01 27 3.9997e-01 1.0000e-01 -2.3799e-05 -1.0424e-06 -2.0791e-05 4.5826e+03 3.9997e-01
20 5.4000e+00 5.2000e-01 27 3.9997e-01 1.0000e-01 -2.3799e-05 -1.0423e-06 -2.0791e-05 4.3555e+03 3.9997e-01
21 5.4200e+00 5.4000e-01 28 3.9997e-01 1.0000e-01 -2.6419e-05 -1.1127e-06 -2.3077e-05 4.6136e+03 3.9997e-01
22 5.4400e+00 5.4000e-01 28 3.9997e-01 1.0000e-01 -2.6419e-05 -1.1127e-06 -2.3076e-05 4.3630e+03 3.9997e-01
23 5.4600e+00 5.4000e-01 28 3.9997e-01 1.0000e-01 -2.6418e-05 -1.1127e-06 -2.3076e-05 4.1383e+03 3.9997e-01
24 5.4800e+00 5.4000e-01 28 3.9997e-01 1.0000e-01 -2.6418e-05 -1.1127e-06 -2.3076e-05 3.9355e+03 3.9997e-01
25 5.5000e+00 5.4000e-01 28 3.9997e-01 1.0000e-01 -2.6418e-05 -1.1126e-06 -2.3076e-05 3.7517e+03 3.9997e-01
26 5.5200e+00 5.4000e-01 28 3.9996e-01 1.0000e-01 -2.6418e-05 -1.1126e-06 -2.3075e-05 3.1939e+03 3.9996e-01
27 5.5400e+00 5.4000e-01 28 3.9996e-01 1.0000e-01 -2.6417e-05 -1.1126e-06 -2.3075e-05 3.0779e+03 3.9996e-01
28 5.5600e+00 5.4000e-01 28 3.9996e-01 1.0000e-01 -2.6417e-05 -1.1126e-06 -2.3075e-05 2.9700e+03 3.9996e-01
29 5.5800e+00 5.4000e-01 28 3.9996e-01 1.0000e-01 -2.6417e-05 -1.1126e-06 -2.3075e-05 2.8694e+03 3.9996e-01
30 5.6000e+00 5.4000e-01 28 3.9996e-01 1.0000e-01 -2.6417e-05 -1.1126e-06 -2.3074e-05 2.7754e+03 3.9996e-01
31 5.6200e+00 5.6000e-01 29 3.9996e-01 1.0000e-01 -2.9191e-05 -1.1839e-06 -2.5494e-05 2.9324e+03 3.9996e-01
32 5.6400e+00 5.6000e-01 29 3.9996e-01 1.0000e-01 -2.9191e-05 -1.1839e-06 -2.5494e-05 2.8309e+03 3.9996e-01
33 5.6600e+00 5.6000e-01 29 3.9996e-01 1.0000e-01 -2.9190e-05 -1.1839e-06 -2.5493e-05 2.7361e+03 3.9996e-01
34 5.6800e+00 5.6000e-01 29 3.9995e-01 1.0000e-01 -2.9190e-05 -1.1839e-06 -2.5493e-05 2.6475e+03 3.9995e-01
35 5.7000e+00 5.6000e-01 29 3.9995e-01 1.0000e-01 -2.9190e-05 -1.1839e-06 -2.5493e-05 2.5645e+03 3.9995e-01
36 5.7200e+00 5.6000e-01 29 3.9995e-01 1.0000e-01 -2.9190e-05 -1.1839e-06 -2.5493e-05 2.4865e+03 3.9995e-01
37 5.7400e+00 5.6000e-01 29 3.9995e-01 1.0000e-01 -2.9189e-05 -1.1839e-06 -2.5492e-05 2.4131e+03 3.9995e-01
38 5.7600e+00 5.6000e-01 29 3.9995e-01 1.0000e-01 -2.9189e-05 -1.1838e-06 -2.5492e-05 2.3439e+03 3.9995e-01
39 5.7800e+00 5.6000e-01 29 3.9995e-01 1.0000e-01 -2.9189e-05 -1.1838e-06 -2.5492e-05 2.2786e+03 3.9995e-01
40 5.8000e+00 5.6000e-01 29 3.9994e-01 1.0000e-01 -2.9188e-05 -1.1838e-06 -2.5491e-05 2.2168e+03 3.9994e-01
41 5.8200e+00 5.8000e-01 30 3.9995e-01 1.0000e-01 -3.2117e-05 -1.2560e-06 -2.8045e-05 2.1593e+03 3.9995e-01
42 5.8400e+00 5.8000e-01 30 3.9995e-01 1.0000e-01 -3.2117e-05 -1.2560e-06 -2.8044e-05 2.1047e+03 3.9995e-01
43 5.8600e+00 5.8000e-01 30 3.9994e-01 1.0000e-01 -3.2116e-05 -1.2560e-06 -2.8044e-05 2.0528e+03 3.9994e-01
44 5.8800e+00 5.8000e-01 30 3.9994e-01 1.0000e-01 -3.2116e-05 -1.2560e-06 -2.8044e-05 2.0034e+03 3.9994e-01
45 5.9000e+00 5.8000e-01 30 3.9994e-01 1.0000e-01 -3.2115e-05 -1.2559e-06 -2.8043e-05 1.9563e+03 3.9994e-01
46 5.9200e+00 5.8000e-01 30 3.9994e-01 1.0000e-01 -3.2115e-05 -1.2559e-06 -2.8043e-05 1.9114e+03 3.9994e-01
47 5.9400e+00 5.8000e-01 30 3.9994e-01 1.0000e-01 -3.2115e-05 -1.2559e-06 -2.8043e-05 1.8685e+03 3.9994e-01
48 5.9600e+00 5.8000e-01 30 3.9993e-01 1.0000e-01 -3.2114e-05 -1.2559e-06 -2.8042e-05 1.8275e+03 3.9993e-01
49 5.9800e+00 5.8000e-01 30 3.9993e-01 1.0000e-01 -3.2114e-05 -1.2559e-06 -2.8042e-05 1.7882e+03 3.9993e-01
50 6.0000e+00 5.8000e-01 30 3.9993e-01 1.0000e-01 -3.2114e-05 -1.2559e-06 -2.8042e-05 1.7506e+03 3.9993e-01
51 6.0200e+00 6.0000e-01 31 3.9993e-01 1.0000e-01 -3.5196e-05 -1.3288e-06 -3.0728e-05 5.6039e+02 3.9993e-01
52 6.0400e+00 6.0000e-01 31 3.9993e-01 1.0000e-01 -3.5195e-05 -1.3288e-06 -3.0728e-05 5.5652e+02 3.9993e-01
53 6.0600e+00 6.0000e-01 31 3.9993e-01 1.0000e-01 -3.5195e-05 -1.3287e-06 -3.0727e-05 5.5271e+02 3.9993e-01
54 6.0800e+00 6.0000e-01 31 3.9993e-01 1.0000e-01 -3.5195e-05 -1.3287e-06 -3.0727e-05 5.4894e+02 3.9993e-01
55 6.1000e+00 6.0000e-01 31 3.9993e-01 1.0000e-01 -3.5194e-05 -1.3287e-06 -3.0727e-05 5.4523e+02 3.9993e-01
56 6.1200e+00 6.0000e-01 31 3.9992e-01 1.0000e-01 -3.5194e-05 -1.3287e-06 -3.0726e-05 5.4157e+02 3.9992e-01
57 6.1400e+00 6.0000e-01 31 3.9992e-01 1.0000e-01 -3.5193e-05 -1.3287e-06 -3.0726e-05 5.3795e+02 3.9992e-01
58 6.1600e+00 6.0000e-01 31 3.9992e-01 1.0000e-01 -3.5193e-05 -1.3287e-06 -3.0725e-05 5.3439e+02 3.9992e-01
59 6.1800e+00 6.0000e-01 31 3.9992e-01 1.0000e-01 -3.5193e-05 -1.3287e-06 -3.0725e-05 5.3087e+02 3.9992e-01
60 6.2000e+00 6.0000e-01 31 3.9992e-01 1.0000e-01 -3.5192e-05 -1.3287e-06 -3.0725e-05 5.2739e+02 3.9992e-01
