iteration_number time radius radius_size sum_phi r_dot velocity_top max_velocity RMS_velocity thickness_boundary porosity_center
0 1.2500e-01 5.0000e-01 26 4.0000e-01 2.0000e+00 -2.1337e-05 -9.7326e-07 -1.8643e-05 0.0000e+00 0.0000e+00
1 1.2600e-01 5.0000e-01 26 4.0000e-01 1.9920e+00 -2.1337e-05 -9.7326e-07 -1.8643e-05 2.2110e+06 4.0000e-01
2 1.2700e-01 5.0000e-01 26 4.0000e-01 1.9842e+00 -2.1337e-05 -9.7326e-07 -1.8643e-05 1.1033e+06 4.0000e-01
3 1.2801e-01 5.0000e-01 26 4.0000e-01 1.9763e+00 -2.1337e-05 -9.7326e-07 -1.8643e-05 7.3407e+05 4.0000e-01
4 1.2902e-01 5.0000e-01 26 4.0000e-01 1.9686e+00 -2.1337e-05 -9.7326e-07 -1.8643e-05 5.4946e+05 4.0000e-01
5 1.3004e-01 5.0000e-01 26 4.0000e-01 1.9609e+00 -2.1337e-05 -9.7326e-07 -1.8643e-05 4.3870e+05 4.0000e-01
6 1.3106e-01 5.0000e-01 26 4.0000e-01 1.9532e+00 -2.1337e-05 -9.7326e-07 -1.8643e-05 3.6486e+05 4.0000e-01
7 1.3208e-01 5.0000e-01 26 4.0000e-01 1.9456e+00 -2.1337e-05 -9.7326e-07 -1.8643e-05 3.1212e+05 4.0000e-01
8 1.3311e-01 5.0000e-01 26 4.0000e-01 1.9381e+00 -2.1337e-05 -9.7326e-07 -1.8643e-05 2.7257e+05 4.0000e-01
9 1.3414e-01 5.0000e-01 26 4.0000e-01 1.9306e+00 -2.1337e-05 -9.7326e-07 -1.8643e-05 2.4181e+05 4.0000e-01
10 1.3518e-01 5.0000e-01 26 4.0000e-01 1.9232e+00 -2.1337e-05 -9.7326e-07 -1.8643e-05 2.1720e+05 4.0000e-01
11 1.3622e-01 5.2000e-01 27 4.0000e-01 1.9159e+00 -2.3804e-05 -1.0425e-06 -2.0795e-05 2.1755e+05 4.0000e-01
12 1.3726e-01 5.2000e-01 27 4.0000e-01 1.9086e+00 -2.3804e-05 -1.0425e-06 -2.0795e-05 1.3387e+05 4.0000e-01
13 1.3831e-01 5.2000e-01 27 4.0000e-01 1.9013e+00 -2.3804e-05 -1.0425e-06 -2.0795e-05 1.2347e+05 4.0000e-01
14 1.3936e-01 5.2000e-01 27 4.0000e-01 1.8941e+00 -2.3804e-05 -1.0425e-06 -2.0795e-05 1.1453e+05 4.0000e-01
15 1.4042e-01 5.2000e-01 27 4.0000e-01 1.8870e+00 -2.3804e-05 -1.0425e-06 -2.0795e-05 1.1268e+05 4.0000e-01
16 1.4148e-01 5.2000e-01 27 4.0000e-01 1.8799e+00 -2.3804e-05 -1.0425e-06 -2.0795e-05 1.0551e+05 4.0000e-01
17 1.4254e-01 5.2000e-01 27 4.0000e-01 1.8729e+00 -2.3804e-05 -1.0425e-06 -2.0795e-05 9.9179e+04 4.0000e-01
18 1.4361e-01 5.2000e-01 27 4.0000e-01 1.8659e+00 -2.3803e-05 -1.0425e-06 -2.0795e-05 9.3543e+04 4.0000e-01
19 1.4468e-01 5.2000e-01 27 4.0000e-01 1.8590e+00 -2.3803e-05 -1.0425e-06 -2.0795e-05 8.8494e+04 4.0000e-01
20 1.4576e-01 5.2000e-01 27 4.0000e-01 1.8521e+00 -2.3803e-05 -1.0425e-06 -2.0795e-05 8.8840e+04 4.0000e-01
