iteration_number time radius radius_size sum_phi r_dot velocity_top max_velocity RMS_velocity thickness_boundary porosity_center
0 1.2500e+00 5.0000e-01 26 4.0000e-01 2.0000e-01 -2.1337e-05 -9.7326e-07 -1.8643e-05 0.0000e+00 0.0000e+00
1 1.2600e+00 5.0000e-01 26 4.0000e-01 1.9920e-01 -2.1337e-05 -9.7326e-07 -1.8643e-05 2.2110e+05 4.0000e-01
2 1.2700e+00 5.0000e-01 26 4.0000e-01 1.9842e-01 -2.1337e-05 -9.7326e-07 -1.8643e-05 1.1033e+05 4.0000e-01
3 1.2801e+00 5.0000e-01 26 4.0000e-01 1.9763e-01 -2.1336e-05 -9.7325e-07 -1.8643e-05 7.3407e+04 4.0000e-01
4 1.2902e+00 5.0000e-01 26 4.0000e-01 1.9686e-01 -2.1336e-05 -9.7325e-07 -1.8643e-05 5.4946e+04 4.0000e-01
5 1.3004e+00 5.0000e-01 26 4.0000e-01 1.9609e-01 -2.1336e-05 -9.7324e-07 -1.8642e-05 4.3869e+04 4.0000e-01
6 1.3106e+00 5.0000e-01 26 4.0000e-01 1.9532e-01 -2.1336e-05 -9.7324e-07 -1.8642e-05 3.6486e+04 4.0000e-01
7 1.3208e+00 5.0000e-01 26 3.9999e-01 1.9456e-01 -2.1336e-05 -9.7324e-07 -1.8642e-05 3.1212e+04 3.9999e-01
8 1.3311e+00 5.0000e-01 26 3.9999e-01 1.9381e-01 -2.1336e-05 -9.7323e-07 -1.8642e-05 2.7256e+04 3.9999e-01
9 1.3414e+00 5.0000e-01 26 3.9999e-01 1.9306e-01 -2.1336e-05 -9.7323e-07 -1.8642e-05 2.4180e+04 3.9999e-01
10 1.3518e+00 5.0000e-01 26 3.9999e-01 1.9232e-01 -2.1336e-05 -9.7323e-07 -1.8642e-05 2.1720e+04 3.9999e-01
11 1.3622e+00 5.2000e-01 27 3.9999e-01 1.9159e-01 -2.3802e-05 -1.0425e-06 -2.0794e-05 2.1737e+04 3.9999e-01
12 1.3726e+00 5.2000e-01 27 3.9999e-01 1.9086e-01 -2.3802e-05 -1.0425e-06 -2.0794e-05 1.3387e+04 3.9999e-01
13 1.3831e+00 5.2000e-01 27 3.9999e-01 1.9013e-01 -2.3802e-05 -1.0425e-06 -2.0794e-05 1.2347e+04 3.9999e-01
14 1.3936e+00 5.2000e-01 27 3.9999e-01 1.8941e-01 -2.3802e-05 -1.0425e-06 -2.0794e-05 1.1454e+04 3.9999e-01
15 1.4042e+00 5.2000e-01 27 3.9999e-01 1.8870e-01 -2.3802e-05 -1.0424e-06 -2.0794e-05 1.1268e+04 3.9999e-01
16 1.4148e+00 5.2000e-01 27 3.9999e-01 1.8799e-01 -2.3802e-05 -1.0424e-06 -2.0794e-05 1.0551e+04 3.9999e-01
17 1.4254e+00 5.2000e-01 27 3.9999e-01 1.8729e-01 -2.3802e-05 -1.0424e-06 -2.0793e-05 9.9176e+03 3.9999e-01
18 1.4361e+00 5.2000e-01 27 3.9999e-01 1.8659e-01 -2.3801e-05 -1.0424e-06 -2.0793e-05 9.3539e+03 3.9999e-01
19 1.4468e+00 5.2000e-01 27 3.9999e-01 1.8590e-01 -2.3801e-05 -1.0424e-06 -2.0793e-05 8.8491e+03 3.9999e-01
20 1.4576e+00 5.2000e-01 27 3.9998e-01 1.8521e-01 -2.3801e-05 -1.0424e-06 -2.0793e-05 8.8838e+03 3.9998e-01
21 1.4684e+00 5.4000e-01 28 3.9999e-01 1.8453e-01 -2.6422e-05 -1.1128e-06 -2.3079e-05 8.8401e+03 3.9999e-01
22 1.4792e+00 5.4000e-01 28 3.9998e-01 1.8385e-01 -2.6422e-05 -1.1128e-06 -2.3079e-05 8.3429e+03 3.9998e-01
23 1.4901e+00 5.4000e-01 28 3.9998e-01 1.8318e-01 -2.6422e-05 -1.1128e-06 -2.3079e-05 7.8970e+03 3.9998e-01
