Ric_adim,coeff_velocity,exp,sum_phi,delta,r0_supercooling,tau_ic,r_dot
1.0,0.01,0.5,0.029122000000000002,0.015283000000000001,0.0,10000.0,5e-05
1.0,0.01,0.5,0.032448000000000005,0.015313,0.82,10000.0,5e-05
1.0,0.01,0.5,0.032873,0.015334,0.84,10000.0,5e-05
1.0,0.01,0.5,0.033355,0.015303,0.86,10000.0,5e-05
1.0,0.01,0.5,0.033774,0.015332,0.88,10000.0,5e-05
1.0,0.01,0.5,0.034432,0.015347,0.9,10000.0,5e-05
1.0,0.01,0.5,0.034927,0.015350999999999998,0.92,10000.0,5e-05
1.0,0.01,0.5,0.035793,0.015505000000000001,0.94,10000.0,5e-05
1.0,0.01,0.5,0.037648,0.016189,0.96,10000.0,5e-05
1.0,0.01,0.5,0.046117,0.021689,0.98,10000.0,5e-05
1.0,0.01,0.5,0.36473,2.1509,1.0,10000.0,5e-05
1.0,0.015848931924611134,0.5,0.045063,0.024544,0.0,3981.071705534973,0.000125594321575479
1.0,0.015848931924611134,0.5,0.048914,0.024612000000000002,0.82,3981.071705534973,0.000125594321575479
1.0,0.015848931924611134,0.5,0.049307,0.0246,0.84,3981.071705534973,0.000125594321575479
1.0,0.015848931924611134,0.5,0.049488,0.024587,0.86,3981.071705534973,0.000125594321575479
1.0,0.015848931924611134,0.5,0.050207999999999996,0.024615,0.88,3981.071705534973,0.000125594321575479
1.0,0.015848931924611134,0.5,0.051023,0.024768000000000002,0.9,3981.071705534973,0.000125594321575479
1.0,0.015848931924611134,0.5,0.051888,0.025041,0.92,3981.071705534973,0.000125594321575479
1.0,0.015848931924611134,0.5,0.054471000000000006,0.02622,0.94,3981.071705534973,0.000125594321575479
1.0,0.015848931924611134,0.5,0.059875,0.029698000000000002,0.96,3981.071705534973,0.000125594321575479
1.0,0.015848931924611134,0.5,0.077073,0.043087,0.98,3981.071705534973,0.000125594321575479
1.0,0.015848931924611134,0.5,0.38429,5.4904,1.0,3981.071705534973,0.000125594321575479
10.0,0.0031622776601683794,0.5,0.00038058,0.0053493,0.0,9999999.999999998,5.000000000000001e-07
10.0,0.01,0.5,0.00099041,0.0058839,0.0,1000000.0,5e-06
10.0,0.0199526231496888,0.5,0.0020043,0.0099183,0.4,251188.64315095797,1.9905358527674864e-05
