iteration_number time radius radius_size sum_phi r_dot velocity_top max_velocity RMS_velocity thickness_boundary porosity_center
0 1.2500e-01 5.0000e-01 21 4.0000e-01 1.0954e+01 -2.1020e-05 -1.2054e-06 -1.8369e-05 0.0000e+00 0.0000e+00
1 1.2523e-01 5.2500e-01 22 4.0000e-01 1.0954e+01 -2.4104e-05 -1.3137e-06 -2.1059e-05 9.5570e+06 4.0000e-01
2 1.2546e-01 5.5000e-01 23 4.0000e-01 1.0954e+01 -2.7428e-05 -1.4241e-06 -2.3959e-05 3.8357e+06 4.0000e-01
3 1.2568e-01 5.7500e-01 24 4.0000e-01 1.0954e+01 -3.0995e-05 -1.5363e-06 -2.7069e-05 2.4182e+06 4.0000e-01
4 1.2591e-01 6.0000e-01 25 4.0000e-01 1.0954e+01 -3.4802e-05 -1.6500e-06 -3.0387e-05 1.9189e+06 4.0000e-01
5 1.2614e-01 6.2500e-01 26 4.0000e-01 1.0954e+01 -3.8848e-05 -1.7649e-06 -3.3913e-05 1.5197e+06 4.0000e-01
6 1.2637e-01 6.5000e-01 27 4.0000e-01 1.0954e+01 -4.3130e-05 -1.8808e-06 -3.7643e-05 5.0722e+05 4.0000e-01
7 1.2660e-01 6.7500e-01 28 4.0000e-01 1.0954e+01 -4.7647e-05 -1.9973e-06 -4.1576e-05 4.7393e+05 4.0000e-01
8 1.2683e-01 7.0000e-01 29 4.0000e-01 1.0954e+01 -5.2393e-05 -2.1141e-06 -4.5706e-05 4.4546e+05 4.0000e-01
9 1.2705e-01 7.2500e-01 30 4.0000e-01 1.0954e+01 -5.7364e-05 -2.2311e-06 -5.0031e-05 4.1870e+05 4.0000e-01
10 1.2728e-01 7.5000e-01 31 4.0000e-01 1.0954e+01 -6.2556e-05 -2.3479e-06 -5.4547e-05 3.9618e+05 4.0000e-01
11 1.2751e-01 7.7500e-01 32 4.0000e-01 1.0954e+01 -6.7963e-05 -2.4644e-06 -5.9247e-05 3.7419e+05 4.0000e-01
12 1.2774e-01 8.0000e-01 33 4.0000e-01 1.0954e+01 -7.3580e-05 -2.5804e-06 -6.4127e-05 3.5605e+05 4.0000e-01
13 1.2797e-01 8.2500e-01 34 4.0000e-01 1.0954e+01 -7.9401e-05 -2.6956e-06 -6.9182e-05 3.3773e+05 4.0000e-01
14 1.2820e-01 8.5000e-01 35 4.0000e-01 1.0954e+01 -8.5420e-05 -2.8099e-06 -7.4406e-05 3.2289e+05 4.0000e-01
15 1.2842e-01 8.7500e-01 36 4.0000e-01 1.0954e+01 -9.1630e-05 -2.9232e-06 -7.9794e-05 3.0745e+05 4.0000e-01
16 1.2865e-01 9.0000e-01 37 4.0000e-01 1.0954e+01 -9.8025e-05 -3.0353e-06 -8.5340e-05 2.9514e+05 4.0000e-01
17 1.2888e-01 9.2500e-01 38 4.0000e-01 1.0954e+01 -1.0460e-04 -3.1460e-06 -9.1037e-05 2.8199e+05 4.0000e-01
18 1.2911e-01 9.5000e-01 39 4.0000e-01 1.0954e+01 -1.1134e-04 -3.2552e-06 -9.6879e-05 2.7166e+05 4.0000e-01
19 1.2934e-01 9.7500e-01 40 4.0000e-01 1.0954e+01 -1.1826e-04 -3.3629e-06 -1.0286e-04 2.6036e+05 4.0000e-01
20 1.2956e-01 1.0000e+00 41 4.0000e-01 1.0954e+01 -1.2533e-04 -3.4689e-06 -1.0898e-04 2.5160e+05 4.0000e-01
21 1.2979e-01 1.0250e+00 42 4.0000e-01 1.0954e+01 -1.3255e-04 -3.5732e-06 -1.1522e-04 2.4181e+05 4.0000e-01
22 1.3002e-01 1.0500e+00 43 4.0000e-01 1.0954e+01 -1.3991e-04 -3.6757e-06 -1.2159e-04 2.3432e+05 4.0000e-01
23 1.3025e-01 1.0750e+00 44 4.0000e-01 1.0954e+01 -1.4742e-04 -3.7764e-06 -1.2807e-04 2.2578e+05 4.0000e-01
24 1.3048e-01 1.1000e+00 45 4.0000e-01 1.0954e+01 -1.5506e-04 -3.8751e-06 -1.3467e-04 2.1932e+05 4.0000e-01
25 1.3071e-01 1.1250e+00 46 4.0000e-01 1.0954e+01 -1.6283e-04 -3.9718e-06 -1.4137e-04 2.1181e+05 4.0000e-01
26 1.3093e-01 1.1500e+00 47 4.0000e-01 1.0954e+01 -1.7072e-04 -4.0665e-06 -1.4817e-04 2.0490e+05 4.0000e-01
27 1.3116e-01 1.1750e+00 48 4.0000e-01 1.0954e+01 -1.7872e-04 -4.1593e-06 -1.5506e-04 1.9957e+05 4.0000e-01
28 1.3139e-01 1.2000e+00 49 4.0000e-01 1.0954e+01 -1.8684e-04 -4.2499e-06 -1.6205e-04 1.9345e+05 4.0000e-01
29 1.3162e-01 1.2250e+00 50 4.0000e-01 1.0954e+01 -1.9505e-04 -4.3386e-06 -1.6911e-04 1.8878e+05 4.0000e-01
30 1.3185e-01 1.2500e+00 51 4.0000e-01 1.0954e+01 -2.0337e-04 -4.4251e-06 -1.7626e-04 1.8332e+05 4.0000e-01
31 1.3207e-01 1.2750e+00 52 4.0000e-01 1.0954e+01 -2.1178e-04 -4.5096e-06 -1.8349e-04 1.7920e+05 4.0000e-01
32 1.3230e-01 1.3000e+00 53 4.0000e-01 1.0954e+01 -2.2028e-04 -4.5921e-06 -1.9079e-04 1.7433e+05 4.0000e-01
33 1.3253e-01 1.3250e+00 54 4.0000e-01 1.0954e+01 -2.2887e-04 -4.6725e-06 -1.9815e-04 1.7067e+05 4.0000e-01
34 1.3276e-01 1.3500e+00 55 4.0000e-01 1.0954e+01 -2.3753e-04 -4.7509e-06 -2.0558e-04 1.6629e+05 4.0000e-01
35 1.3299e-01 1.3750e+00 56 4.0000e-01 1.0954e+01 -2.4627e-04 -4.8272e-06 -2.1306e-04 1.6221e+05 4.0000e-01
36 1.3322e-01 1.4000e+00 57 4.0000e-01 1.0954e+01 -2.5509e-04 -4.9016e-06 -2.2060e-04 1.5908e+05 4.0000e-01
37 1.3344e-01 1.4250e+00 58 4.0000e-01 1.0954e+01 -2.6397e-04 -4.9740e-06 -2.2820e-04 1.5539e+05 4.0000e-01
38 1.3367e-01 1.4500e+00 59 4.0000e-01 1.0954e+01 -2.7291e-04 -5.0444e-06 -2.3584e-04 1.5259e+05 4.0000e-01
39 1.3390e-01 1.4500e+00 59 4.0000e-01 1.0954e+01 -2.7291e-04 -5.0444e-06 -2.3584e-04 1.4988e+05 4.0000e-01
40 1.3413e-01 1.4500e+00 59 4.0000e-01 1.0954e+01 -2.7291e-04 -5.0444e-06 -2.3584e-04 1.4727e+05 4.0000e-01
41 1.3436e-01 1.4500e+00 59 4.0000e-01 1.0954e+01 -2.7291e-04 -5.0444e-06 -2.3584e-04 1.4385e+05 4.0000e-01
42 1.3459e-01 1.4500e+00 59 4.0000e-01 1.0954e+01 -2.7291e-04 -5.0444e-06 -2.3584e-04 1.4135e+05 4.0000e-01
43 1.3481e-01 1.4750e+00 60 4.0000e-01 1.0954e+01 -2.8191e-04 -5.1129e-06 -2.4352e-04 1.3747e+05 4.0000e-01
44 1.3504e-01 1.4750e+00 60 4.0000e-01 1.0954e+01 -2.8191e-04 -5.1129e-06 -2.4352e-04 1.3507e+05 4.0000e-01
45 1.3527e-01 1.4750e+00 60 4.0000e-01 1.0954e+01 -2.8191e-04 -5.1129e-06 -2.4352e-04 1.3274e+05 4.0000e-01
46 1.3550e-01 1.4750e+00 60 4.0000e-01 1.0954e+01 -2.8191e-04 -5.1129e-06 -2.4352e-04 1.3050e+05 4.0000e-01
47 1.3573e-01 1.4750e+00 60 4.0000e-01 1.0954e+01 -2.8191e-04 -5.1129e-06 -2.4352e-04 1.2833e+05 4.0000e-01
48 1.3595e-01 1.4750e+00 60 4.0000e-01 1.0954e+01 -2.8191e-04 -5.1129e-06 -2.4352e-04 1.2623e+05 4.0000e-01
49 1.3618e-01 1.4750e+00 60 4.0000e-01 1.0954e+01 -2.8191e-04 -5.1129e-06 -2.4352e-04 1.2420e+05 4.0000e-01
50 1.3641e-01 1.4750e+00 60 4.0000e-01 1.0954e+01 -2.8191e-04 -5.1129e-06 -2.4352e-04 1.2223e+05 4.0000e-01
51 1.3664e-01 1.4750e+00 60 4.0000e-01 1.0954e+01 -2.8191e-04 -5.1129e-06 -2.4352e-04 1.2032e+05 4.0000e-01
52 1.3687e-01 1.4750e+00 60 4.0000e-01 1.0954e+01 -2.8191e-04 -5.1129e-06 -2.4352e-04 1.1743e+05 4.0000e-01
53 1.3710e-01 1.5000e+00 61 4.0000e-01 1.0954e+01 -2.9097e-04 -5.1795e-06 -2.5125e-04 1.1309e+05 4.0000e-01
54 1.3732e-01 1.5000e+00 61 4.0000e-01 1.0954e+01 -2.9097e-04 -5.1795e-06 -2.5125e-04 1.1124e+05 4.0000e-01
55 1.3755e-01 1.5000e+00 61 4.0000e-01 1.0954e+01 -2.9097e-04 -5.1795e-06 -2.5125e-04 1.0946e+05 4.0000e-01
56 1.3778e-01 1.5000e+00 61 4.0000e-01 1.0954e+01 -2.9097e-04 -5.1795e-06 -2.5125e-04 1.0772e+05 4.0000e-01
57 1.3801e-01 1.5000e+00 61 4.0000e-01 1.0954e+01 -2.9097e-04 -5.1795e-06 -2.5125e-04 1.0605e+05 4.0000e-01
58 1.3824e-01 1.5000e+00 61 4.0000e-01 1.0954e+01 -2.9097e-04 -5.1795e-06 -2.5125e-04 1.0442e+05 4.0000e-01
59 1.3846e-01 1.5000e+00 61 4.0000e-01 1.0954e+01 -2.9097e-04 -5.1795e-06 -2.5125e-04 1.0285e+05 4.0000e-01
60 1.3869e-01 1.5000e+00 61 4.0000e-01 1.0954e+01 -2.9097e-04 -5.1795e-06 -2.5125e-04 1.0132e+05 4.0000e-01
61 1.3892e-01 1.5000e+00 61 4.0000e-01 1.0954e+01 -2.9097e-04 -5.1795e-06 -2.5125e-04 9.9831e+04 4.0000e-01
62 1.3915e-01 1.5000e+00 61 4.0000e-01 1.0954e+01 -2.9097e-04 -5.1795e-06 -2.5125e-04 9.8389e+04 4.0000e-01
63 1.3938e-01 1.5250e+00 62 4.0000e-01 1.0954e+01 -3.0009e-04 -5.2442e-06 -2.5902e-04 9.4209e+04 4.0000e-01
64 1.3961e-01 1.5250e+00 62 4.0000e-01 1.0954e+01 -3.0009e-04 -5.2442e-06 -2.5902e-04 9.2818e+04 4.0000e-01
65 1.3983e-01 1.5250e+00 62 4.0000e-01 1.0954e+01 -3.0008e-04 -5.2442e-06 -2.5902e-04 9.1467e+04 4.0000e-01
66 1.4006e-01 1.5250e+00 62 4.0000e-01 1.0954e+01 -3.0008e-04 -5.2442e-06 -2.5902e-04 9.0155e+04 4.0000e-01
