iteration_number time radius radius_size sum_phi r_dot velocity_top max_velocity RMS_velocity thickness_boundary porosity_center
0 1.2500e-02 5.0000e-02 21 4.0000e-01 1.5492e+01 -2.4080e-07 -1.3906e-08 -2.1076e-07 0.0000e+00 0.0000e+00
1 1.2516e-02 5.2500e-02 22 4.0000e-01 1.5492e+01 -2.7980e-07 -1.5369e-08 -2.4489e-07 1.1495e+08 4.0000e-01
2 1.2532e-02 5.5000e-02 23 4.0000e-01 1.5492e+01 -3.2280e-07 -1.6904e-08 -2.8251e-07 4.6498e+07 4.0000e-01
3 1.2548e-02 5.7500e-02 24 4.0000e-01 1.5492e+01 -3.6997e-07 -1.8512e-08 -3.2379e-07 2.9219e+07 4.0000e-01
4 1.2565e-02 6.0000e-02 25 4.0000e-01 1.5492e+01 -4.2152e-07 -2.0192e-08 -3.6890e-07 2.3082e+07 4.0000e-01
5 1.2581e-02 6.2500e-02 26 4.0000e-01 1.5492e+01 -4.7764e-07 -2.1945e-08 -4.1800e-07 1.8091e+07 4.0000e-01
6 1.2597e-02 6.5000e-02 27 4.0000e-01 1.5492e+01 -5.3851e-07 -2.3770e-08 -4.7126e-07 6.1011e+06 4.0000e-01
7 1.2613e-02 6.7500e-02 28 4.0000e-01 1.5492e+01 -6.0433e-07 -2.5667e-08 -5.2885e-07 5.6674e+06 4.0000e-01
8 1.2629e-02 7.0000e-02 29 4.0000e-01 1.5492e+01 -6.7528e-07 -2.7636e-08 -5.9094e-07 5.2925e+06 4.0000e-01
9 1.2645e-02 7.2500e-02 30 4.0000e-01 1.5492e+01 -7.5157e-07 -2.9678e-08 -6.5768e-07 4.9094e+06 4.0000e-01
10 1.2661e-02 7.5000e-02 31 4.0000e-01 1.5492e+01 -8.3337e-07 -3.1791e-08 -7.2926e-07 4.6129e+06 4.0000e-01
11 1.2678e-02 7.7500e-02 32 4.0000e-01 1.5492e+01 -9.2088e-07 -3.3976e-08 -8.0583e-07 4.2981e+06 4.0000e-01
12 1.2694e-02 8.0000e-02 33 4.0000e-01 1.5492e+01 -1.0143e-06 -3.6232e-08 -8.8755e-07 4.0594e+06 4.0000e-01
13 1.2710e-02 8.2500e-02 34 4.0000e-01 1.5492e+01 -1.1138e-06 -3.8561e-08 -9.7460e-07 3.7972e+06 4.0000e-01
14 1.2726e-02 8.5000e-02 35 4.0000e-01 1.5492e+01 -1.2195e-06 -4.0961e-08 -1.0671e-06 3.6020e+06 4.0000e-01
15 1.2742e-02 8.7500e-02 36 4.0000e-01 1.5492e+01 -1.3318e-06 -4.3432e-08 -1.1653e-06 3.3810e+06 4.0000e-01
16 1.2758e-02 9.0000e-02 37 4.0000e-01 1.5492e+01 -1.4506e-06 -4.5974e-08 -1.2693e-06 3.2192e+06 4.0000e-01
17 1.2774e-02 9.2500e-02 38 4.0000e-01 1.5492e+01 -1.5763e-06 -4.8588e-08 -1.3793e-06 3.0312e+06 4.0000e-01
18 1.2790e-02 9.5000e-02 39 4.0000e-01 1.5492e+01 -1.7091e-06 -5.1272e-08 -1.4954e-06 2.8955e+06 4.0000e-01
19 1.2807e-02 9.7500e-02 40 4.0000e-01 1.5492e+01 -1.8490e-06 -5.4028e-08 -1.6179e-06 2.7341e+06 4.0000e-01
20 1.2823e-02 1.0000e-01 41 4.0000e-01 1.5492e+01 -1.9963e-06 -5.6854e-08 -1.7468e-06 2.5864e+06 4.0000e-01
21 1.2839e-02 1.0250e-01 42 4.0000e-01 1.5492e+01 -2.1512e-06 -5.9751e-08 -1.8823e-06 2.4794e+06 4.0000e-01
22 1.2855e-02 1.0500e-01 43 4.0000e-01 1.5492e+01 -2.3138e-06 -6.2718e-08 -2.0246e-06 2.3511e+06 4.0000e-01
23 1.2871e-02 1.0750e-01 44 4.0000e-01 1.5492e+01 -2.4844e-06 -6.5756e-08 -2.1738e-06 2.2593e+06 4.0000e-01
24 1.2887e-02 1.1000e-01 45 4.0000e-01 1.5492e+01 -2.6631e-06 -6.8864e-08 -2.3302e-06 2.1471e+06 4.0000e-01
25 1.2903e-02 1.1250e-01 46 4.0000e-01 1.5492e+01 -2.8502e-06 -7.2041e-08 -2.4938e-06 2.0436e+06 4.0000e-01
26 1.2920e-02 1.1500e-01 47 4.0000e-01 1.5492e+01 -3.0457e-06 -7.5289e-08 -2.6649e-06 1.9691e+06 4.0000e-01
27 1.2936e-02 1.1750e-01 48 4.0000e-01 1.5492e+01 -3.2498e-06 -7.8606e-08 -2.8435e-06 1.8777e+06 4.0000e-01
